key,label,family,access,eligible,mode,delta,k,n,acc,lo,hi
internvl3_38b,InternVL3-38B,internvl,local,1,c1_shape,0,3,4,0.7500,0.3006,0.9544
internvl3_38b,InternVL3-38B,internvl,local,1,c1_shape,45,1,4,0.2500,0.0456,0.6994
internvl3_38b,InternVL3-38B,internvl,local,1,c1_shape,90,0,4,0.0000,0.0000,0.4899
internvl3_38b,InternVL3-38B,internvl,local,1,c1_shape,135,1,4,0.2500,0.0456,0.6994
internvl3_38b,InternVL3-38B,internvl,local,1,c1_shape,180,0,4,0.0000,0.0000,0.4899
internvl3_38b,InternVL3-38B,internvl,local,1,c2_colour,0,4,4,1.0000,0.5101,1.0000
internvl3_38b,InternVL3-38B,internvl,local,1,c2_colour,45,2,4,0.5000,0.1500,0.8500
internvl3_38b,InternVL3-38B,internvl,local,1,c2_colour,90,0,4,0.0000,0.0000,0.4899
internvl3_38b,InternVL3-38B,internvl,local,1,c2_colour,135,0,4,0.0000,0.0000,0.4899
internvl3_38b,InternVL3-38B,internvl,local,1,c2_colour,180,0,4,0.0000,0.0000,0.4899
internvl3_38b,InternVL3-38B,internvl,local,1,c3_peaks_bare,0,4,4,1.0000,0.5101,1.0000
internvl3_38b,InternVL3-38B,internvl,local,1,c3_peaks_bare,45,2,4,0.5000,0.1500,0.8500
